transaction_amount,account_balance,transaction_time_seconds,avg_transaction_amount_7d,std_transaction_amount_7d,transactions_last_1h,transactions_last_24h,failed_attempts,num_devices_used,transaction_type,device_type,location_region,is_foreign_transaction,is_high_risk_country,valor_real,probabilidad_fraude,prediccion
79.81523096728552,1957.0221028411509,65723,101.18326427828488,52.63942704581139,3,9,0,4,transfer,mobile,rural,0,0,0,6.280037817624789e-13,0
12.47440976152278,0.0,686,89.25036777838852,31.912188295887603,2,8,0,2,withdrawal,mobile,urban,0,0,0,6.407564183207101e-19,0
22.20212059193637,2991.457780947453,23080,79.4425149226791,50.75093228720418,3,6,1,1,payment,desktop,rural,0,1,0,4.3377379581075964e-09,0
170.09901584064815,3604.776328476095,40465,43.76921512736137,1.0,2,6,3,3,payment,mobile,rural,0,0,0,2.1994496869728157e-06,0
356.72986623667043,875.3529142706818,20893,107.97840457398851,40.3480574500435,1,12,1,2,transfer,mobile,rural,0,1,0,0.3277364909106903,0
50.140649635952464,1411.3503577327438,60390,100.53321854872776,40.63430287160487,1,10,0,2,transfer,mobile,suburban,0,0,0,1.6745965002273254e-17,0
20.33605859293249,2737.391946617088,8706,114.60925587122084,42.51861348968575,1,3,0,4,payment,mobile,suburban,0,0,0,3.444764566125832e-21,0
113.30665598020148,3477.491844986399,77768,62.32361802888035,38.32074274579135,2,13,0,2,payment,mobile,rural,0,0,0,7.693521812710505e-18,0
213.67233944058555,1471.7268676319318,54130,32.92259685956143,49.50993576331091,2,8,0,3,purchase,desktop,rural,0,0,0,2.1187125948458692e-20,0
40.84654000007745,1834.5443675558165,45587,113.72444382395469,7.987902756984141,3,15,1,3,transfer,mobile,rural,0,0,0,6.606201072794922e-10,0
62.40315924956519,1651.1051625769726,61866,48.015084162520296,23.26252403411792,1,8,1,1,withdrawal,desktop,rural,0,0,0,4.451575637845805e-21,0
47.32222769797692,879.8398941710975,41486,95.41738767871271,1.0,5,9,1,4,purchase,desktop,rural,1,0,0,3.2854571861006335e-07,0
75.28767293261558,1664.035844173256,35000,61.92576474244024,39.8316304691583,2,8,0,3,purchase,tablet,suburban,1,0,0,7.608774638685164e-16,0
755.0667203314857,3945.3518012802624,3058,100.6938233606932,15.249717443308842,3,7,0,2,payment,desktop,rural,1,0,0,1.8752040197244258e-05,0
